"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-01","2024","01","01","","-4.3","","-8.8","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-02","2024","01","02","","0.6","","-7.0","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","","","20","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-03","2024","01","03","","2.5","","-0.5","","1.0","","17.0","","0.0","","0.0","","0.4","","0.2","","0","T","22","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-04","2024","01","04","","0.1","","-14.5","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","52",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-05","2024","01","05","","-1.9","","-14.4","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","22","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-06","2024","01","06","","-2.9","","-10.9","","-6.9","","24.9","","0.0","","0.0","","5.4","","3.4","","0","T","7","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-07","2024","01","07","","-5.1","","-10.2","","-7.7","","25.7","","0.0","","0.0","","7.4","","4.8","","8","","7","","34",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-08","2024","01","08","","-1.9","","-6.6","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","11","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-09","2024","01","09","","0.4","","-6.5","","-3.1","","21.1","","0.0","","2.4","","8.6","","7.8","","11","","6","","62",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-10","2024","01","10","","5.0","","-5.3","","-0.2","","18.2","","0.0","","4.2","","0.0","T","4.2","","15","","27","","58",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-11","2024","01","11","","-5.1","","-8.5","","-6.8","","24.8","","0.0","","0.0","","0.8","","0.6","","10","","29","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-12","2024","01","12","","-5.2","","-10.4","","-7.8","","25.8","","0.0","","0.0","","4.2","","2.0","","9","","6","","62",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-13","2024","01","13","","1.9","","-6.4","","-2.3","","20.3","","0.0","","0.0","","14.8","","10.1","","23","","7","","70",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-14","2024","01","14","","-3.0","","-8.4","","-5.7","","23.7","","0.0","","0.0","","0.0","T","0.0","T","23","","23","","73",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-15","2024","01","15","","-7.2","","-12.3","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","22","","23","","44",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-16","2024","01","16","","-7.8","","-16.1","","-12.0","","30.0","","0.0","","0.0","","6.8","","3.4","","20","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-17","2024","01","17","","-9.2","","-17.1","","-13.2","","31.2","","0.0","","0.0","","0.0","","0.0","","27","","22","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-18","2024","01","18","","-7.5","","-12.8","","-10.2","","28.2","","0.0","","0.0","","0.2","","0.0","T","26","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-19","2024","01","19","","-10.7","","-17.8","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","25","","1","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-20","2024","01","20","","-11.5","","-17.1","","-14.3","","32.3","","0.0","","0.0","","0.2","","0.2","","24","","32","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-21","2024","01","21","","-10.4","","-18.7","","-14.6","","32.6","","0.0","","0.0","","0.0","T","0.0","T","23","","30","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-22","2024","01","22","","-1.3","","-12.1","","-6.7","","24.7","","0.0","","0.0","","2.2","","1.4","","24","E","21","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-23","2024","01","23","","-1.2","","-9.5","","-5.4","","23.4","","0.0","","0.0","","0.6","","0.4","","23","","9","","38",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-24","2024","01","24","","-3.5","","-10.9","","-7.2","","25.2","","0.0","","4.6","","2.8","","6.4","","26","","6","","38",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-25","2024","01","25","","0.1","","-3.7","","-1.8","","19.8","","0.0","","0.3","","0.0","","0.3","","23","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-26","2024","01","26","","1.6","","-1.3","","0.2","","17.8","","0.0","","6.4","","0.0","T","6.6","","22","","4","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-27","2024","01","27","","1.1","","-0.2","","0.5","","17.5","","0.0","","0.0","","0.2","","0.2","","17","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-28","2024","01","28","","1.6","","-0.6","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-29","2024","01","29","","-0.2","","-7.9","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","15","","35","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-30","2024","01","30","","-4.0","","-7.7","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","15","","9","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-31","2024","01","31","","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","15","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-01","2024","02","01","","2.7","","0.5","","1.6","","16.4","","0.0","","0.5","","0.0","","0.5","","15","","22","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-02","2024","02","02","","1.7","","-4.4","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","14","","33","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-03","2024","02","03","","-2.3","","-6.8","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-04","2024","02","04","","-0.6","","-7.7","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-05","2024","02","05","","1.7","","-6.3","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-06","2024","02","06","","0.4","","-8.9","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","13","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-07","2024","02","07","","-0.3","","-8.8","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","13","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-08","2024","02","08","","4.0","","-6.3","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","12","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-09","2024","02","09","","9.9","","-1.3","","4.3","","13.7","","0.0","","1.4","","0.0","","1.4","","10","","23","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-10","2024","02","10","","6.0","","2.2","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","6","","27","","31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-11","2024","02","11","","2.7","","-0.3","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","6","","26","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-12","2024","02","12","","2.2","","-4.3","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","5","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-13","2024","02","13","","2.4","","-9.7","","-3.7","","21.7","","0.0","","0.0","","0.2","","0.2","","5","","32","","57",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-14","2024","02","14","","-5.1","","-10.7","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","3","","28","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-15","2024","02","15","","-4.2","","-13.2","","-8.7","","26.7","","0.0","","0.0","","9.8","","7.4","","3","","6","","38",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-16","2024","02","16","","-2.4","","-10.2","","-6.3","","24.3","","0.0","","0.0","","1.0","","0.6","","12","","27","","49",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-17","2024","02","17","","-8.7","","-16.4","","-12.6","","30.6","","0.0","","0.0","","0.0","T","0.0","T","12","","25","","40",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-18","2024","02","18","","-1.8","","-15.2","","-8.5","","26.5","","0.0","","0.0","","3.2","","2.4","","13","","33","","60",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-19","2024","02","19","","-9.7","","-16.2","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","14","","30","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-20","2024","02","20","","-7.0","","-13.1","","-10.1","","28.1","","0.0","","0.0","","0.0","T","0.0","T","14","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-21","2024","02","21","","4.8","","-14.2","","-4.7","","22.7","","0.0","","0.0","","0.0","T","0.0","T","14","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-22","2024","02","22","","7.5","","0.2","","3.9","","14.1","","0.0","","0.2","","0.4","","0.9","","11","","19","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-23","2024","02","23","","4.0","","-12.9","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","7","","33","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-24","2024","02","24","","-9.6","","-16.9","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","6","","33","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-25","2024","02","25","","1.5","","-14.6","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","6","","20","","44",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-26","2024","02","26","","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","0.6","","0.4","","5","","29","","46",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-27","2024","02","27","","11.9","","-2.5","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-28","2024","02","28","","15.7","","-12.9","","1.4","","16.6","","0.0","","2.2","","0.0","T","2.2","","0","T","29","","94",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-02-29","2024","02","29","","-7.9","","-13.7","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","0","T","29","","67",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-01","2024","03","01","","6.0","","-12.4","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","0","T","19","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-02","2024","03","02","","6.2","","-4.3","","1.0","","17.0","","0.0","","0.0","T","0.0","","0.0","T","0","T","20","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-03","2024","03","03","","7.4","","0.1","","3.8","","14.2","","0.0","","0.0","T","0.0","","0.0","T","0","T","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-04","2024","03","04","","11.9","","1.1","","6.5","","11.5","","0.0","","0.0","T","0.0","","0.0","T","","","6","","31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-05","2024","03","05","","17.5","","-0.6","","8.5","","9.5","","0.0","","1.4","","0.0","","1.4","","","","18","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-06","2024","03","06","","6.1","","3.5","","4.8","","13.2","","0.0","","2.5","","0.0","","2.5","","","","3","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-07","2024","03","07","","11.0","","-2.1","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","2","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-08","2024","03","08","","8.5","","-2.9","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","8","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-09","2024","03","09","","8.1","","0.3","","4.2","","13.8","","0.0","","13.7","","0.0","","13.7","","","","17","","61",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-10","2024","03","10","","4.6","","-4.9","","-0.2","","18.2","","0.0","","7.3","","1.6","","8.3","","0","T","28","","52",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-11","2024","03","11","","4.9","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","1","","29","","62",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-12","2024","03","12","","11.3","","-4.1","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","","","30","","31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-13","2024","03","13","","10.2","","-1.1","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","","","7","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-14","2024","03","14","","13.2","","-3.6","","4.8","","13.2","","0.0","","1.2","","0.0","","1.2","","","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-15","2024","03","15","","12.2","","0.3","","6.3","","11.7","","0.0","","1.5","","0.0","","1.5","","","","33","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-16","2024","03","16","","6.5","","-2.8","","1.9","","16.1","","0.0","","2.1","","0.0","T","2.1","","","","19","","45",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-17","2024","03","17","","6.7","","0.5","","3.6","","14.4","","0.0","","5.5","","0.0","","5.5","","","","28","","40",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-18","2024","03","18","","1.1","","-5.2","","-2.1","","20.1","","0.0","","0.0","","1.0","","0.4","","0","T","27","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-19","2024","03","19","","-0.1","","-8.3","","-4.2","","22.2","","0.0","","0.0","","0.8","","0.4","","0","T","31","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-20","2024","03","20","","4.1","","-8.0","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","","62",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-21","2024","03","21","","-3.7","","-10.9","","-7.3","","25.3","","0.0","","0.0","","0.6","","0.2","","0","T","30","","58",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-22","2024","03","22","","-4.1","","-13.8","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-23","2024","03","23","","-0.7","","-9.4","","-5.1","","23.1","","0.0","","0.0","","1.2","","0.8","","1","","3","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-24","2024","03","24","","1.3","","-8.9","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","","","30","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-25","2024","03","25","","10.0","","-6.9","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","","","7","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-26","2024","03","26","","11.6","","-1.2","","5.2","","12.8","","0.0","","0.0","","0.0","","0.0","","","","10","","52",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-27","2024","03","27","","16.0","","4.5","","10.3","","7.7","","0.0","","1.4","","0.0","","1.4","","","","22","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-28","2024","03","28","","9.8","","0.2","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","","","29","","40",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-29","2024","03","29","","7.4","","-3.2","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","","","29","","55",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-30","2024","03","30","","6.9","","-2.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","31","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-03-31","2024","03","31","","10.8","","-0.4","","5.2","","12.8","","0.0","","0.0","","0.0","","0.0","","","","29","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-01","2024","04","01","","11.6","","-2.9","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","","","33","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-02","2024","04","02","","11.6","","-3.4","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","","","7","","53",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-03","2024","04","03","","","M","","M","","M","","M","","M","14.5","","9.8","","22.1","","","","8","","67",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-04","2024","04","04","","0.6","","-1.5","","-0.5","","18.5","","0.0","","0.0","","8.8","","5.4","","7","","7","","63",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-05","2024","04","05","","5.4","","0.0","","2.7","","15.3","","0.0","","2.4","","1.0","","3.0","","12","","5","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-06","2024","04","06","","12.0","","2.4","","7.2","","10.8","","0.0","","0.0","","0.0","","0.0","","0","T","1","","38",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-07","2024","04","07","","16.4","","-2.2","","7.1","","10.9","","0.0","","0.0","","0.0","","0.0","","","","35","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-08","2024","04","08","","18.4","","0.1","","9.3","","8.7","","0.0","","0.0","","0.0","","0.0","","","","29","","34",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-09","2024","04","09","","21.1","","3.8","","12.5","","5.5","","0.0","","0.0","T","0.0","","0.0","T","","","13","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-10","2024","04","10","","22.2","","5.8","","14.0","","4.0","","0.0","","0.2","","0.0","","0.2","","","","21","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-11","2024","04","11","","13.0","","4.1","","8.6","","9.4","","0.0","","19.1","","0.0","","19.1","","","","8","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-12","2024","04","12","","16.5","","6.3","","11.4","","6.6","","0.0","","4.5","","0.0","","4.5","","","","15","","68",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-13","2024","04","13","","6.4","","1.0","","3.7","","14.3","","0.0","","2.6","","0.0","","2.6","","","","29","","57",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-14","2024","04","14","","9.0","","0.5","","4.8","","13.2","","0.0","","1.6","","0.0","","1.6","","","","25","","31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-04-15","2024","04","15","","14.7","","3.0","","8.9","","9.1","","0.0","","1.2","","0.0","","1.2","","","","28","","48",""
